"GroupNumber"	"CandidateOrder"	"TimeLimit"	"CandidateOrder1"	"CandidateOrder2"	"Age"	"Education"	"Religion"	"Ethnicity"	"Income"	"Marital"	"Employed"	"Gender"	"SearchesPerWeek"	"EverSearched"	"LastElection"	"PoliticalView"	"FamiliarCandidate1"	"FamiliarCandidate2"	"PreTestImpressionCandidate1"	"PreTestImpressionCandidate2"	"PreTestLikableCandidate1"	"PreTestLikableCandidate2"	"PreTestTrustCandidate1"	"PreTestTrustCandidate2"	"PreTestLikelyVoteBipolar"	"PreTestLikelyVoteCandidate1"	"PreTestLikelyVoteCandidate2"	"PreTestVoteWhichCandidate"	"PreTestVoteEitherCandidate"	"PostTestImpressionCandidate1"	"PostTestImpressionCandidate2"	"PostTestLikableCandidate1"	"PostTestLikableCandidate2"	"PostTestTrustCandidate1"	"PostTestTrustCandidate2"	"PostTestLikelyVoteBipolar"	"PostTestLikelyVoteCandidate1"	"PostTestLikelyVoteCandidate2"	"PostTestVoteWhichCandidate"	"PostTestVoteEitherCandidate"	"Bothered"	"BotheredText"	"TimePage1"	"TimePage2"	"TimePage3"	"TimePage4"	"TimePage5"	"Timer1"	"Timer2"	"Timer3"	"Timer4"	"Timer5"	"Timer6"	"Timer7"	"Timer8"	"Timer9"	"Timer10"	"Timer11"	"Timer12"	"Timer13"	"Timer14"	"Timer15"	"Timer16"	"Timer17"	"Timer18"	"Timer19"	"Timer20"	"Timer21"	"Timer22"	"Timer23"	"Timer24"	"Timer25"	"Timer26"	"Timer27"	"Timer28"	"Timer29"	"Timer30"	"Clicks1"	"Clicks2"	"Clicks3"	"Clicks4"	"Clicks5"	"Clicks6"	"Clicks7"	"Clicks8"	"Clicks9"	"Clicks10"	"Clicks11"	"Clicks12"	"Clicks13"	"Clicks14"	"Clicks15"	"Clicks16"	"Clicks17"	"Clicks18"	"Clicks19"	"Clicks20"	"Clicks21"	"Clicks22"	"Clicks23"	"Clicks24"	"Clicks25"	"Clicks26"	"Clicks27"	"Clicks28"	"Clicks29"	"Clicks30"	"NumberOfClicks"	"AvgSecPerPage"	"TotalSearchTime"	"Country"	"Fluency"	"ExpName"
3	1	15	"David Cameron"	"Ed Miliband"	49	"Primary"	"None"	"White"	"&pound;30,000 to 40,000 ($45,000 to 60,000)"	"Married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Conservative (right)"	3	3	8	7	8	6	6	6	-1	0	0	"David Cameron"	0	4	6	5	5	4	6	0	0	0	"Ed Miliband"	0	"No"	" "	50	33	52	42	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	268	"United States"	10	"Original"
1	2	15	"Ed Miliband"	"David Cameron"	25	"Bachelors"	"None"	"Asian"	"&pound;20,000 to 30,000 ($30,000 to 45,000)"	"Never married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Moderate (centre)"	9	9	5	5	5	5	5	5	-2	0	0	"Ed Miliband"	0	5	5	5	5	5	5	-2	0	0	"Ed Miliband"	0	"Yes"	"They were all pro-Cameron"	16	0	0	0	0	61	6	0	0	0	37	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	37.2	186	"United States"	10	"Original"
3	1	15	"David Cameron"	"Ed Miliband"	31	"Secondary"	"Christianity"	"White"	"&pound;15,000 to 20,000 ($23,000 to 30,000)"	"Divorced"	"Yes"	"Male"	30	"Yes"	"Yes"	"Conservative (right)"	1	1	9	7	10	9	10	8	-3	0	0	"David Cameron"	0	8	6	9	9	7	6	-2	0	0	"David Cameron"	0	"No"	" "	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	5	55.4	277	"United States"	10	"BiasAlert1"
2	2	15	"Ed Miliband"	"David Cameron"	25	"Bachelors"	"Christianity"	"White"	"&pound;20,000 to 30,000 ($30,000 to 45,000)"	"Married"	"Yes"	"Male"	13	"Yes"	"Yes"	"Moderate (centre)"	7	1	8	8	8	8	8	8	-1	0	0	"Ed Miliband"	0	4	4	4	4	4	4	-1	0	0	"Ed Miliband"	0	"No"	" "	149	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	33	90	0	0	0	10	68	0	0	0	4	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	7	76.285714285714	534	"United States"	10	"Original"
1	2	15	"Ed Miliband"	"David Cameron"	26	"Masters"	"Hinduism"	"Asian"	"&pound;10,000 to 15,000 ($15,000 to 23,000)"	"Never married"	"Yes"	"Male"	6	"Yes"	"Yes"	"Moderate (centre)"	5	5	7	7	7	7	7	7	3	0	0	"David Cameron"	0	7	6	7	6	7	6	3	0	0	"David Cameron"	0	"No"	"no"	128	0	0	0	0	66	46	0	0	0	71	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	72.6	363	"India"	7	"Original"
3	1	15	"David Cameron"	"Ed Miliband"	27	"Masters"	"Hinduism"	"Asian"	"&pound;30,000 to 40,000 ($45,000 to 60,000)"	"Married"	"Yes"	"Female"	4	"Yes"	"Yes"	"Moderate (centre)"	8	7	10	8	10	8	10	8	-5	0	0	"David Cameron"	0	9	7	9	7	9	7	-5	0	0	"David Cameron"	0	"Yes"	"it clearly shows what goes wrong in them clearly. it highlights their drawbacks and negatives"	42	32	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	5	19.4	97	"India"	10	"Original"
2	1	15	"David Cameron"	"Ed Miliband"	31	"Secondary"	"I prefer not to say"	"White"	"&pound;5,000 to 10,000 ($7,500 to 15,000)"	"Married"	"Yes"	"Female"	15	"Yes"	"Yes"	"Liberal (left)"	1	1	6	9	6	8	8	8	4	0	0	"Ed Miliband"	0	6	9	4	10	3	9	5	0	0	"Ed Miliband"	0	"No"	" "	60	14	25	18	88	42	15	0	0	0	31	0	0	0	0	52	35	39	0	0	0	0	0	39	57	0	0	0	11	72	0	0	0	57	61	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	12	59.666666666667	716	"United States"	10	"Original"
2	2	15	"Ed Miliband"	"David Cameron"	39	"Bachelors"	"Christianity"	"White"	"&pound;50,000 to 70,000 ($75,000 to 100,000)"	"Married"	"Yes"	"Female"	6	"Yes"	"Yes"	"Liberal (left)"	4	3	5	8	4	8	6	6	-3	0	0	"Ed Miliband"	0	6	8	5	7	6	6	-3	0	0	"Ed Miliband"	0	"Yes"	"The media\'s views towards the candidates seemed to switch between pages 2 and 4, with Milibrand getting a much more positive spin."	173	33	23	43	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	9	49.555555555556	446	"United States"	10	"Original"
2	1	15	"David Cameron"	"Ed Miliband"	44	"Masters"	"Hinduism"	"Asian"	"&pound;30,000 to 40,000 ($45,000 to 60,000)"	"Married"	"Yes"	"Male"	4	"Yes"	"Yes"	"Moderate (centre)"	10	6	10	9	10	8	10	8	-5	0	0	"David Cameron"	0	5	6	5	7	5	6	1	0	0	"Ed Miliband"	0	"No"	" "	148	0	72	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	2	1	7	47.285714285714	331	"India"	10	"Original"
1	1	15	"David Cameron"	"Ed Miliband"	27	"Bachelors"	"Islam"	"Asian"	"Under &pound;5,000 (Under $7,500)"	"Married"	"Yes"	"Female"	1	"Yes"	"Yes"	"Liberal (left)"	10	1	10	9	10	9	10	9	-5	0	0	"David Cameron"	0	4	4	3	2	3	3	-1	0	0	"David Cameron"	0	"Yes"	"I had seen a message which mentioned about the content being \'biased\', but don\'t remember the entire message."	53	24	21	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	176	"India"	9	"BiasAlert1"
2	2	15	"Ed Miliband"	"David Cameron"	30	"Bachelors"	"Christianity"	"Black"	"&pound;15,000 to 20,000 ($23,000 to 30,000)"	"Married"	"Yes"	"Female"	11	"Yes"	"Yes"	"Liberal (left)"	10	8	10	9	10	8	9	4	4	0	0	"David Cameron"	0	7	6	10	7	10	9	1	0	0	"David Cameron"	0	"No"	" "	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	17	51	"United States"	10	"BiasAlert1"
1	1	15	"David Cameron"	"Ed Miliband"	30	"Bachelors"	"None"	"White"	"&pound;40,000 to 50,000 ($60,000 to 75,000)"	"Married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Moderate (centre)"	7	3	2	7	2	7	3	7	5	0	0	"Ed Miliband"	0	4	10	1	9	1	6	5	0	0	"Ed Miliband"	0	"Yes"	"There wasn\'t one unbiased website"	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	28	"United States"	10	"BiasAlert1"
1	1	15	"David Cameron"	"Ed Miliband"	33	"Bachelors"	"None"	"Mixed"	"&pound;50,000 to 70,000 ($75,000 to 100,000)"	"Never married"	"Yes"	"Female"	95	"Yes"	"Yes"	"Liberal (left)"	1	1	6	6	6	6	1	1	4	0	0	"Ed Miliband"	0	6	9	5	9	5	7	5	0	0	"Ed Miliband"	0	"No"	" "	60	10	11	9	33	32	63	13	0	0	129	59	0	0	48	53	43	0	0	18	0	0	0	0	15	0	0	0	20	0	0	0	0	37	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	12	54.416666666667	653	"United States"	10	"Original"
3	1	15	"David Cameron"	"Ed Miliband"	30	"Masters"	"Hinduism"	"Asian"	"&pound;30,000 to 40,000 ($45,000 to 60,000)"	"Married"	"Yes"	"Female"	10	"Yes"	"Yes"	"Liberal (left)"	10	8	10	8	10	8	10	8	-4	0	0	"David Cameron"	0	9	7	8	7	8	7	-3	0	0	"David Cameron"	0	"No"	"it was all news so i didnt bother about it."	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	21.75	87	"India"	10	"Original"
2	2	15	"Ed Miliband"	"David Cameron"	38	"Doctorate"	"Christianity"	"Asian"	"&pound;5,000 to 10,000 ($7,500 to 15,000)"	"Married"	"Yes"	"Male"	6	"Yes"	"Yes"	"Moderate (centre)"	10	5	9	7	9	7	7	7	1	0	0	"David Cameron"	0	8	9	7	9	8	8	-1	0	0	"Ed Miliband"	0	"Yes"	"My concept about Ed Miliband changed"	70	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	37	20	0	0	16	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	7	30.142857142857	211	"India"	9	"Original"
2	2	15	"Ed Miliband"	"David Cameron"	33	"None"	"Christianity"	"Mixed"	"Under &pound;5,000 (Under $7,500)"	"Separated"	"No"	"Female"	5	"Yes"	"Yes"	"Moderate (centre)"	2	1	10	10	9	8	9	8	5	0	0	"David Cameron"	0	1	10	1	10	1	10	-5	0	0	"Ed Miliband"	0	"No"	" "	9	19	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	58	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	6	89.5	537	"United States"	10	"Original"
2	2	15	"Ed Miliband"	"David Cameron"	25	"Primary"	"None"	"White"	"&pound;20,000 to 30,000 ($30,000 to 45,000)"	"Never married"	"Yes"	"Male"	20	"Yes"	"Yes"	"Moderate (centre)"	5	5	7	8	8	9	9	10	-5	0	0	"Ed Miliband"	0	9	10	8	10	8	10	-5	0	0	"Ed Miliband"	0	"No"	" "	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	147.5	295	"UNITED KINGDOM"	10	"BiasAlert1"
2	2	15	"Ed Miliband"	"David Cameron"	56	"Secondary"	"Christianity"	"White"	"&pound;10,000 to 15,000 ($15,000 to 23,000)"	"Widowed"	"Yes"	"Female"	2	"Yes"	"Yes"	"Moderate (centre)"	2	2	8	8	5	5	5	5	1	0	0	"David Cameron"	0	2	8	3	8	2	9	-3	0	0	"Ed Miliband"	0	"No"	" "	17	10	0	47	227	53	0	0	0	0	0	0	36	5	0	0	163	0	52	0	0	0	0	0	0	0	0	50	0	0	0	0	0	103	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	9	84.777777777778	763	"United States"	10	"Original"
1	2	15	"Ed Miliband"	"David Cameron"	24	"Bachelors"	"Christianity"	"White"	"&pound;30,000 to 40,000 ($45,000 to 60,000)"	"Never married"	"Yes"	"Female"	5	"Yes"	"No"	"Liberal (left)"	9	4	5	10	4	9	2	8	-5	0	0	"Ed Miliband"	0	8	4	6	3	8	5	4	0	0	"David Cameron"	0	"No"	" "	44	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	28	56	"United States"	10	"BiasAlert1"
2	1	15	"David Cameron"	"Ed Miliband"	27	"Secondary"	"None"	"Hispanic"	"&pound;20,000 to 30,000 ($30,000 to 45,000)"	"Never married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Moderate (centre)"	7	3	8	6	8	5	9	5	-3	0	0	"David Cameron"	0	6	7	6	6	7	6	-1	0	0	"David Cameron"	0	"No"	" "	110	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	9	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	4	39.75	159	"United States"	10	"BiasAlert1"
2	1	15	"David Cameron"	"Ed Miliband"	49	"Bachelors"	"Hinduism"	"Asian"	"Under &pound;5,000 (Under $7,500)"	"Married"	"Yes"	"Female"	10	"Yes"	"Yes"	"Other"	10	3	9	5	9	3	8	5	-4	0	0	"David Cameron"	0	9	5	9	5	9	6	-4	0	0	"David Cameron"	0	"No"	" "	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	67	"India"	9	"Original"
2	2	15	"Ed Miliband"	"David Cameron"	29	"Masters"	"Hinduism"	"Asian"	"&pound;50,000 to 70,000 ($75,000 to 100,000)"	"Married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Liberal (left)"	10	8	10	8	10	8	10	8	4	0	0	"David Cameron"	0	8	9	8	9	7	9	-4	0	0	"Ed Miliband"	0	"Yes"	"ed miliband  seems to be trusted candidate , he plans to do more good things to country"	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	281	"India"	10	"Original"
1	1	15	"David Cameron"	"Ed Miliband"	31	"Secondary"	"Other"	"White"	"Under &pound;5,000 (Under $7,500)"	"Never married"	"No"	"Male"	10	"Yes"	"No"	"Liberal (left)"	8	2	6	8	7	8	6	7	2	0	0	"Ed Miliband"	0	5	8	5	7	6	8	3	0	0	"Ed Miliband"	0	"No"	" "	28	0	0	0	0	94	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	84	168	"United States"	10	"Original"
2	1	15	"David Cameron"	"Ed Miliband"	35	"Bachelors"	"None"	"White"	"&pound;40,000 to 50,000 ($60,000 to 75,000)"	"Never married"	"Yes"	"Male"	5	"Yes"	"No"	"Liberal (left)"	5	1	8	8	5	5	5	5	-1	0	0	"David Cameron"	0	6	7	4	5	4	5	1	0	0	"Ed Miliband"	0	"No"	" "	72	201	36	70	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	5	0	0	0	0	0	0	235	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	8	93.25	746	"United States"	10	"Original"
